"Lay's Classic Potato Chips 15.75 oz.",15chips,160,10g,15g,2g
Lays Wavy Original Chips 10.25oz,about 11chips,160,10g,15g,2g
"Lay's, Doritos, Cheetos, and Fritos Variety Pack - 20 Count",1package,160,10g,15g,2g
Doritos and Cheetos Snacks Variety Pack - 20 Count,1package,140,8g,16g,2g
Doritos Nacho Cheese Chips 10oz,11chips,140,8g,16g,2g
"Stacy's Cinnamon Sugar Pita Chips - 7.33 Oz",7chips,140,5g,20g,3g
Archer Farms Parmesan Garlic Potato Chips 8 oz,15chips,140,9g,15g,2g
Lays Classic Chips 10.25oz,15chips,160,10g,15g,2g
Tostitos Artisan Recipes Roasted Garlic & Black Bean Flavor 6 oz,8chips,140,7g,18g,2g
Danielle Roasted Coconut Chips 2 oz,28g,126,9g,10g,1g
"Lay's, Doritos, Cheetos, Fritos, and Variety Pack 20 Count",1package,160,10g,15g,2g
"Lay's Kettle Cooked Jalapeno Flavored Potato Chips- 8.0 oz.",15chips,150,9g,16g,2g
Archer Farms® Deluxe Mixed Nuts with Seasalt 10.5 oz,0.25cup,170,16g,5g,5g
Archer Farms Deluxe Mixed Nuts 20oz,1oz,170,16g,6g,5g
"M&M's Mint Dark Chocolate Candy 8 oz",0.25cup,210,9g,30g,2g
Archer Farms Simply Trail Mix 36 oz,0.25cup,170,10g,18g,5g
Archer Farms™ 7.5 Oz Omega 3 Trail Mix,0.25cup,170,14g,10g,5g
Market Pantry Knapsack Trail Mix 42 oz,0.25cup,150,8g,15g,4g
"M&M's Peanut Chocolate Candy 19.2 oz",0.25cup,220,11g,26g,4g
Simply Cheetos Puffs White Cheddar- 8.0 oz.,32pieces,150,9g,16g,2g
Skinny Pop Original Popcorn 4.4 oz,3.75cups,150,10g,15g,2g
"Snyder's® of Hanover Pretzel Sandwiches Peanut Butter - 8 oz",9sandwiches,140,7g,16g,4g
"Hershey's Kisses Milk Chocolate with Almonds Candy 11 oz",9pieces,200,13g,22g,4g
Archer Farms Rudolph Mix 2 Oz,1package,270,13g,38g,4g
Archer Farms Monster Trail Mix 36oz,0.25cup,170,10g,20g,4g
AF Cashew Cranberry Almond 8oz,0.25cup,140,9g,14g,4g
